調査年,食品カテゴリ,食品名,食品詳細,検査方法,細菌名,汚染濃度,単位,実施機関,調査名,source URL,閲覧日,備考
2000~2015,その他,RTE食品など,,plate_count,Listeria monocytogenes,<10,CFU/g,東京都健康安全研究センター,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,その他,RTE食品など,,plate_count,Listeria monocytogenes,<10,CFU/g,東京都健康安全研究センター,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,その他,RTE食品など,,plate_count,Listeria monocytogenes,<10,CFU/g,東京都健康安全研究センター,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,その他,RTE食品など,,plate_count,Listeria monocytogenes,<10,CFU/g,東京都健康安全研究センター,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場A; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場A; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni,0.6,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場B; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,6.18,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場B; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni,1.38,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場B; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,6.95,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場B; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場C; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場C; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場D; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,6.81,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場D; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場E; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,6.56,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場E; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni,0.6,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場E; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,8,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場E; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場D; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,6.45,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場D; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni,1.2,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場F; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,6.43,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場F; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter coli,2.26,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場G; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter coli,9.82,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場G; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場H; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場H; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,6.09,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場I; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter coli,0.78,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場I; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場J; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場J; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場K; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni/coli,不検出,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場K; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni/coli,8.65,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場L; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter coli,1.72,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場L; 
2020,鶏肉,胸肉,ブロイラー,plate_count,Campylobacter jejuni,1.3,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場M; 
2020,鶏肉,盲腸内容物,ブロイラー,plate_count,Campylobacter jejuni,8.82,log CFU/g,国立医薬品食品衛生研究所,食鳥処理場における鶏肉のカンピロバクター汚染の定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場M; 
2014~2015,鶏肉,盲腸内容物,一般商品向け鶏 (Nb鶏),plate_count,Campylobacter spp.,4.70E+06,CFU/g,一般社団法人岩手県獣医師会食烏検査センター,特殊飼料を給与したブロイラーでみられたカンピロバクター低汚染鶏群と偶発的区分処理の潜在的効果,https://agriknowledge.affrc.go.jp/RN/2010902975.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場; 検査方法_詳細: 塗抹平板培養法 (コンラージ法); 加工処理 :中抜き;
2014~2015,鶏肉,盲腸内容物,ブランド商品向け鶏 (B鶏),plate_count,Campylobacter spp.,1.20E+04,CFU/g,一般社団法人岩手県獣医師会食烏検査センター,特殊飼料を給与したブロイラーでみられたカンピロバクター低汚染鶏群と偶発的区分処理の潜在的効果,https://agriknowledge.affrc.go.jp/RN/2010902975.pdf,,value: 平均値; 問い合わせ: 要; origin: 養鶏場; 検査方法_詳細: 塗抹平板培養法 (コンラージ法); 加工処理 :中抜き;
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,8.56,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第1回, 47日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,1.3,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第1回, 47日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,6.71,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第2回, 48日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter spp.,不検出,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第2回, 48日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,9.34,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第3回, 46日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,2.15,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第3回, 46日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,8.62,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第4回, 48日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,1.85,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第4回, 48日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,5.52,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第5回, 48日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,1.3,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第5回, 48日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,6.38,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第6回, 48日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,0.7,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場A; others: 第6回, 48日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,8.53,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場B; others: 第1回, 51日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,1.48,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場B; others: 第1回, 51日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter spp.,-,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場C; others: 第2回, 50日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter spp.,-,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場C; others: 第2回, 50日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,9.19,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場D; others: 第3回, 51日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,2.04,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場D; others: 第3回, 51日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,7.46,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場E; others: 第4回, 52日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,2.2,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場E; others: 第4回, 52日齢; "
2018,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni,8.18,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場F; others: 第5回, 50日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,2.81,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場F; others: 第5回, 50日齢; "
2018,鶏肉,盲腸内容物,,plate_count,"Campylobacter jejuni, Campylobacter coli",6.47,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場G; others: 第6回, 49日齢; "
2018,鶏肉,胸肉,,plate_count,Campylobacter jejuni,2.11,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場G; others: 第6回, 49日齢; "
2020,鶏肉,盲腸内容物,,plate_count,"Campylobacter jejuni, Campylobacter coli",7.27,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場H; others: 第7回, 48日齢; "
2020,鶏肉,胸肉,,plate_count,"Campylobacter jejuni, Campylobacter coli",2.49,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場H; others: 第7回, 48日齢; "
2020,鶏肉,鶏もも肉製品,,plate_count,Campylobacter spp.,1.53,log CFU/g,"地方衛生研究所, 国立医薬品食品衛生研究所",鶏肉食品におけるカンピロバクター等の定量的汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan1.pdf,,value: 平均値; 問い合わせ: 要; 検査方法_詳細: ISO 10272-2：2017; other: 食鳥処理場及び鶏種（銘柄）の情報あり; 
