Year,Food Category,Food Name,Food details,method,Organism,Concentration,Unit,Agency,Survey,Source URL,Access Date,detail information
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni,0.6,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場B; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,6.18,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場B; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni,1.38,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場B; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,6.95,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場B; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場C; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場C; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場D; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,6.81,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場D; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場E; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,6.56,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場E; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni,0.6,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場E; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,8,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場E; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場D; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,6.45,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場D; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni,1.2,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場F; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,6.43,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場F; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter coli,2.26,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場G; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter coli,9.82,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場G; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場H; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場H; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,6.09,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場I; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter coli,0.78,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場I; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場J; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場J; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場K; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni/coli,not detected,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場K; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni/coli,8.65,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場L; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter coli,1.72,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場L; 
2020,Chicken,breast,ブロイラー,plate_count,Campylobacter jejuni,1.3,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場M; 
2020,Chicken,Cecal content,ブロイラー,plate_count,Campylobacter jejuni,8.82,log CFU/g,National Institute of Health Sciences,食鳥処理場ニオケル鶏肉ノカンピロバクター汚染ノ定量調査,https://agriknowledge.affrc.go.jp/RN/2010942163.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場M; 
2014~2015,Chicken,Cecal content,一般商品向ケ鶏 (Nb鶏),plate_count,Campylobacter spp.,4.70E+06,CFU/g,Chicken Inspection Center. Iwate Veterinary Medical Assosiatio,Low Prevalence of Canpylobacter-positive Flocks in Branded Broiler Chickens Fed a Special Feed and Potential Effect of Unintentional Implementation of Logistic Slaughter,https://agriknowledge.affrc.go.jp/RN/2010902975.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場; 検査方法_詳細: 塗抹平板培養法 (コンラージ法); 加工処理 :中抜キ;
2014~2015,Chicken,Cecal content,ブランド商品向ケ鶏 (B鶏),plate_count,Campylobacter spp.,1.20E+04,CFU/g,Chicken Inspection Center. Iwate Veterinary Medical Assosiatio,Low Prevalence of Canpylobacter-positive Flocks in Branded Broiler Chickens Fed a Special Feed and Potential Effect of Unintentional Implementation of Logistic Slaughter,https://agriknowledge.affrc.go.jp/RN/2010902975.pdf,,value: 平均値; 問イ合ワセ: 要; origin: 養鶏場; 検査方法_詳細: 塗抹平板培養法 (コンラージ法); 加工処理 :中抜キ;
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,8.56,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第1回, 47日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,1.3,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第1回, 47日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,6.71,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第2回, 48日齢; "
2018,Chicken,breast,,plate_count,Campylobacter spp.,not detected,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第2回, 48日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,9.34,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第3回, 46日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,2.15,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第3回, 46日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,8.62,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第4回, 48日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,1.85,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第4回, 48日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,5.52,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第5回, 48日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,1.3,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第5回, 48日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,6.38,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第6回, 48日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,0.7,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場A; others: 第6回, 48日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,8.53,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場B; others: 第1回, 51日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,1.48,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場B; others: 第1回, 51日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter spp.,-,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場C; others: 第2回, 50日齢; "
2018,Chicken,breast,,plate_count,Campylobacter spp.,-,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場C; others: 第2回, 50日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,9.19,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場D; others: 第3回, 51日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,2.04,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場D; others: 第3回, 51日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,7.46,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場E; others: 第4回, 52日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,2.2,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場E; others: 第4回, 52日齢; "
2018,Chicken,Cecal content,,plate_count,Campylobacter jejuni,8.18,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場F; others: 第5回, 50日齢; "
2018,Chicken,breast,,plate_count,Campylobacter jejuni,2.81,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場F; others: 第5回, 50日齢; "
2018,Chicken,Cecal content,,plate_count,"Campylobacter jejuni, Campylobacter coli",6.47,log CFU/g,National Institute of Health Sciences,2食鳥処理場ニオケルブロイラー群オヨビ胸肉ノカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問イ合ワセ: 要; origin: 農場G; others: 第6回, 49日齢; "
